source_id,source_name,target_id,target_name,relationship,best_confidence,method_count,avg_score
naics:238320,Painting and Wall Covering Contractors,uc:Pr_35_31,Formless covering and finish products,semantically_similar,B,2,0.378
naics:23622,Commercial and Institutional Building Construction,uc:Ss_40_20_15,Commercial FF&E systems,semantically_similar,B,2,0.377
naics:236220,Commercial and Institutional Building Construction,uc:Ss_40_20_15,Commercial FF&E systems,semantically_similar,B,2,0.377
naics:23832,Painting and Wall Covering Contractors,uc:Ac_10_40_60,Painting and decorating,semantically_similar,B,2,0.373
naics:238320,Painting and Wall Covering Contractors,uc:Ac_10_40_60,Painting and decorating,semantically_similar,B,2,0.373
naics:2373,"Highway, Street, and Bridge Construction",uc:En_80_35_35,Highway maintenance depots,semantically_similar,B,2,0.373
naics:23731,"Highway, Street, and Bridge Construction",uc:En_80_35_35,Highway maintenance depots,semantically_similar,B,2,0.373
naics:237310,"Highway, Street, and Bridge Construction",uc:En_80_35_35,Highway maintenance depots,semantically_similar,B,2,0.373
naics:23821,Electrical Contractors and Other Wiring Installation Contractors,uc:En_70,Electrical power generation and distribution entities,semantically_similar,B,2,0.372
naics:238210,Electrical Contractors and Other Wiring Installation Contractors,uc:En_70,Electrical power generation and distribution entities,semantically_similar,B,2,0.372
naics:2372,Land Subdivision,uc:En_32_10_04,Arable land,semantically_similar,A,2,0.37
naics:23721,Land Subdivision,uc:En_32_10_04,Arable land,semantically_similar,A,2,0.37
naics:237210,Land Subdivision,uc:En_32_10_04,Arable land,semantically_similar,A,2,0.37
naics:236118,Residential Remodelers,uc:Ss_40_45_70,Residential living space FF&E systems,semantically_similar,B,2,0.37
naics:2373,"Highway, Street, and Bridge Construction",uc:En_80_35_38,Highway service stations,semantically_similar,B,2,0.369
naics:23731,"Highway, Street, and Bridge Construction",uc:En_80_35_38,Highway service stations,semantically_similar,B,2,0.369
naics:237310,"Highway, Street, and Bridge Construction",uc:En_80_35_38,Highway service stations,semantically_similar,B,2,0.369
naics:23835,Finish Carpentry Contractors,uc:Pr_35_31,Formless covering and finish products,semantically_similar,B,2,0.368
naics:238350,Finish Carpentry Contractors,uc:Pr_35_31,Formless covering and finish products,semantically_similar,B,2,0.368
naics:2382,Building Equipment Contractors,uc:Pr_40_70,Equipment,semantically_similar,B,2,0.366
naics:2372,Land Subdivision,uc:En_32_20_65,Plots of land,semantically_similar,B,2,0.362
naics:23721,Land Subdivision,uc:En_32_20_65,Plots of land,semantically_similar,B,2,0.362
naics:237210,Land Subdivision,uc:En_32_20_65,Plots of land,semantically_similar,B,2,0.362
naics:2373,"Highway, Street, and Bridge Construction",uc:Ac_80_45,Highway storage and maintenance activities,semantically_similar,B,2,0.356
naics:23731,"Highway, Street, and Bridge Construction",uc:Ac_80_45,Highway storage and maintenance activities,semantically_similar,B,2,0.356
naics:237310,"Highway, Street, and Bridge Construction",uc:Ac_80_45,Highway storage and maintenance activities,semantically_similar,B,2,0.356
naics:2361,Residential Building Construction,uc:Co_45_10_36,High-rise residential complexes,semantically_similar,B,2,0.355
naics:23611,Residential Building Construction,uc:Co_45_10_36,High-rise residential complexes,semantically_similar,B,2,0.355
naics:236118,Residential Remodelers,uc:Ss_55_30_98_70,Residential water mist systems,semantically_similar,B,2,0.355
naics:23713,Power and Communication Line and Related Structures Construction,uc:Ss_70_30_60,Overhead line traction power distribution systems,semantically_similar,B,2,0.351
naics:237130,Power and Communication Line and Related Structures Construction,uc:Ss_70_30_60,Overhead line traction power distribution systems,semantically_similar,B,2,0.351
naics:23812,Structural Steel and Precast Concrete Contractors,uc:Ac_15_50_85,Structural surveying,semantically_similar,B,2,0.337
naics:238120,Structural Steel and Precast Concrete Contractors,uc:Ac_15_50_85,Structural surveying,semantically_similar,B,2,0.337
naics:23711,Water and Sewer Line and Related Structures Construction,uc:Ac_42_90,Water activities,semantically_similar,B,2,0.318
naics:237110,Water and Sewer Line and Related Structures Construction,uc:Ac_42_90,Water activities,semantically_similar,B,2,0.318
